"Longitude","Latitude","SiteID","year","S","N","logS","logN","p1","p2","p3","p4","predS","predN","predlogS","predlogN"
-86.53,34.1,"L105249",109,57,7400,1.75587485567249,3.86923171973098,0.99886574965,0.835397536192,0.998865451552,0.835397570255,54.4336809154943,70178.6580028713,1.73625207468559,3.72193632488862
-93.14253,36.17153,"L105252",109,57,3730,1.75587485567249,3.57170883180869,0.997447254471,0.957326636356,0.997447032782,0.957326637584,56.0574412821298,68385.2035891174,1.74285118282063,4.16286035582746
-76.08,35.77,"L105254",109,60,17359,1.77815125038364,4.23952470315667,0.999552144371,0.0564232985297,0.999551929929,0.056423339856,63.7302543563824,42650.1913819953,1.8029307900099,4.17082815163091
-85.10859,34.15593,"L105355",109,64,12490,1.80617997398389,4.09656243837414,0.999294473045,0.123869711083,0.999294348242,0.123869724002,57.6302662520622,67987.3753573659,1.76015385807475,3.81267328870644
-93.905,30.0741,"L105358",109,59,5622,1.77085201164214,3.74989084127142,0.998367599063,0.0117019944437,0.998367398307,0.0117019951237,65.4186718961455,71165.4412079593,1.80894593549367,4.10765924241225
-112.2154,33.22524,"L105359",109,78,59093,1.89209460269048,4.77153603855596,0.999850145169,0.175544731468,0.99985012502,0.175544741739,72.0431980333476,79229.0039435341,1.85409392582902,4.05825969586904
-99.683333,34.333333,"L105360",109,63,7540,1.79934054945358,3.87737134586977,0.998752009459,0.750244122762,0.998751891783,0.750244129446,58.9878132699713,111484.788483792,1.76711525514754,4.42820853530244
-94.97,45.2,"L105362",109,34,4132,1.53147891704226,3.61616031284758,0.998783293627,0.589410680424,0.998774127688,0.589440050183,29.3446936354882,38700.1061957716,1.44691570504428,3.47065535925429
-53.977,48.1618,"L105546",109,15,437,1.17609125905568,2.64048143697042,0.99365581993,0.919075324442,0.993161745983,0.919566868008,27.3723759108868,-31408.3309752584,1.41704073157548,3.07726919194074
-121.583,50.75,"L105548",109,20,641,1.30102999566398,2.80685802951882,0.99408297088,0.867721467788,0.993923187808,0.867849463562,31.2055930582457,24167.571794645,1.47692897015447,3.05781497044966
-94.29,37.28,"L105811",109,51,19675,1.70757017609794,4.2939147410311,0.999678344317,0.1338303873,0.999677702045,0.13383166782,50.0681430479224,98886.5722348141,1.70997281146173,3.93038019640902
-91.483,47.1667,"L105816",109,28,1721,1.44715803134222,3.23578087032756,0.997277205773,0.877265828596,0.997247873641,0.877290185519,30.199610988512,19900.0270526342,1.46171965253925,3.24964952340383
-120.35,47.34,"L105819",109,42,4491,1.6232492903979,3.65234305506271,0.998577782549,0.655432949649,0.998575026189,0.65543525082,38.7279266372734,-14161.0749712553,1.57509496621831,3.84397639558248
