"SiteID","Year","TOO","AB"
2001,2012,3490,2
2001,2012,13040,18
2001,2012,13210,54
2001,2012,15840,4
2001,2012,17790,9
2001,2012,23940,13
2001,2012,24070,10
2001,2012,33680,5
2001,2012,33820,3
2001,2012,34040,1
2001,2012,35070,3
2001,2012,35490,6
2001,2012,37200,13
2001,2012,37400,5
2001,2012,37570,4
2001,2012,37940,24
2001,2012,38440,18
2001,2012,38760,13
2001,2012,39080,8
2001,2012,39210,17
2001,2012,39330,7
2001,2012,39480,12
2001,2012,39580,2
2001,2012,40130,17
2001,2012,41120,5
2001,2012,41520,16
2001,2012,41910,2
2001,2012,42380,40
2001,2012,42600,82
2001,2012,42750,7
2001,2012,43010,19
2001,2012,43630,1
2001,2012,43950,1
2001,2012,44040,1
2001,2012,44200,1
2001,2012,44260,2
2001,2012,44300,2
2001,2012,44940,4
2001,2012,46110,3
2001,2012,49770,10
2001,2012,50020,13
2001,2012,51220,84
2001,2012,51400,6
2001,2012,51430,14
2001,2012,51500,1
2001,2012,51520,4
2001,2012,51650,12
2001,2012,51780,18
2001,2012,52120,4
2001,2012,52240,8
2001,2012,53270,6
2001,2012,53710,1
2001,2012,54150,6
2004,2012,13040,6
2004,2012,13210,101
2004,2012,15840,1
2004,2012,17790,17
2004,2012,23760,3
2004,2012,23940,11
2004,2012,24070,1
2004,2012,24500,2
2004,2012,33680,9
2004,2012,35070,3
2004,2012,35490,20
2004,2012,37200,6
2004,2012,37400,6
2004,2012,37570,2
2004,2012,37940,47
2004,2012,38440,34
2004,2012,38760,40
2004,2012,39080,7
2004,2012,39210,25
2004,2012,39330,11
2004,2012,39480,9
2004,2012,39580,2
2004,2012,40130,16
2004,2012,41120,8
2004,2012,41520,53
2004,2012,42380,11
2004,2012,42580,2
2004,2012,42600,42
2004,2012,42750,11
2004,2012,43010,39
2004,2012,44040,2
2004,2012,44060,3
2004,2012,44300,2
2004,2012,44940,10
2004,2012,46110,1
2004,2012,49770,23
2004,2012,50020,21
2004,2012,50070,3
2004,2012,51220,66
2004,2012,51400,5
2004,2012,51430,48
2004,2012,51520,14
2004,2012,51650,40
2004,2012,51780,6
2004,2012,53270,17
2004,2012,54150,5
2010,2012,3360,2
2010,2012,3490,1
2010,2012,13210,15
2010,2012,15840,5
2010,2012,17790,20
2010,2012,23940,9
2010,2012,24070,6
2010,2012,24080,1
2010,2012,24740,7
2010,2012,33680,4
2010,2012,33820,4
2010,2012,34040,11
2010,2012,35070,5
2010,2012,35490,2
2010,2012,37200,19
2010,2012,37400,2
2010,2012,37570,21
2010,2012,37940,16
2010,2012,38440,45
2010,2012,38760,10
2010,2012,39210,20
2010,2012,39330,17
2010,2012,39480,22
2010,2012,39630,4
2010,2012,40130,22
2010,2012,41120,12
2010,2012,41520,9
2010,2012,41910,19
2010,2012,42380,12
2010,2012,42580,4
2010,2012,42600,21
2010,2012,42750,7
2010,2012,43010,1
2010,2012,43630,10
2010,2012,44040,11
2010,2012,44060,6
2010,2012,44180,6
2010,2012,44210,1
2010,2012,44220,2
2010,2012,44230,2
2010,2012,44250,1
2010,2012,44260,3
2010,2012,44300,5
2010,2012,44450,13
2010,2012,44940,20
2010,2012,46110,6
2010,2012,46140,3
2010,2012,49770,30
2010,2012,50020,18
2010,2012,50070,3
2010,2012,51220,28
2010,2012,51400,15
2010,2012,51430,41
2010,2012,51520,3
2010,2012,51650,2
2010,2012,51780,1
2010,2012,52120,7
2010,2012,52240,11
2010,2012,53270,1
2010,2012,53710,4
2012,2012,13040,2
2012,2012,13210,10
2012,2012,15840,6
2012,2012,17790,15
2012,2012,21480,1
2012,2012,23760,1
2012,2012,23940,6
2012,2012,24070,1
2012,2012,24500,1
2012,2012,24740,1
2012,2012,33680,4
2012,2012,34040,6
2012,2012,35070,11
2012,2012,37200,4
2012,2012,37400,5
2012,2012,37440,11
2012,2012,37570,22
2012,2012,37940,17
2012,2012,38440,66
2012,2012,39330,30
2012,2012,39480,24
2012,2012,39580,1
2012,2012,39630,2
2012,2012,40130,16
2012,2012,40320,1
2012,2012,41120,9
2012,2012,41520,7
2012,2012,41910,21
2012,2012,42380,5
2012,2012,42600,2
2012,2012,42750,4
2012,2012,43630,1
2012,2012,43900,16
2012,2012,44040,7
2012,2012,44060,1
2012,2012,44180,2
2012,2012,44190,3
2012,2012,44200,1
2012,2012,44210,3
2012,2012,44230,5
2012,2012,44250,1
2012,2012,44260,4
2012,2012,44300,3
2012,2012,44450,6
2012,2012,44940,6
2012,2012,46110,17
2012,2012,46140,11
2012,2012,49770,8
2012,2012,50020,3
2012,2012,50500,1
2012,2012,51220,29
2012,2012,51400,2
2012,2012,51430,20
2012,2012,51520,1
2012,2012,52120,1
2012,2012,52240,1
2012,2012,53270,2
2012,2012,53710,2
2013,2012,3360,1
2013,2012,13210,8
2013,2012,15840,1
2013,2012,17790,12
2013,2012,23940,4
2013,2012,24070,1
2013,2012,24865,3
2013,2012,34040,4
2013,2012,35070,1
2013,2012,37200,4
2013,2012,37570,5
2013,2012,37940,17
2013,2012,38440,33
2013,2012,38760,7
2013,2012,39210,21
2013,2012,39330,2
2013,2012,39480,2
2013,2012,40130,3
2013,2012,41120,2
2013,2012,41520,10
2013,2012,41910,4
2013,2012,42380,6
2013,2012,42580,2
2013,2012,42600,37
2013,2012,42750,5
2013,2012,43010,5
2013,2012,44260,2
2013,2012,44450,2
2013,2012,44940,8
2013,2012,46110,1
2013,2012,49770,19
2013,2012,50020,3
2013,2012,50070,1
2013,2012,51220,43
2013,2012,51400,1
2013,2012,51430,16
2013,2012,51520,6
2013,2012,51650,1
2013,2012,51780,14
2013,2012,53710,1
2014,2012,3490,1
2014,2012,13040,5
2014,2012,13210,27
2014,2012,15840,4
2014,2012,17790,9
2014,2012,21480,1
2014,2012,23760,2
2014,2012,23940,20
2014,2012,24070,6
2014,2012,24500,1
2014,2012,33820,1
2014,2012,34040,6
2014,2012,35070,1
2014,2012,35490,2
2014,2012,37200,8
2014,2012,37400,3
2014,2012,37570,8
2014,2012,37940,10
2014,2012,38440,69
2014,2012,38760,6
2014,2012,39130,135
2014,2012,39210,8
2014,2012,39330,12
2014,2012,39480,38
2014,2012,39580,3
2014,2012,39630,2
2014,2012,40130,21
2014,2012,41120,3
2014,2012,41520,19
2014,2012,41910,8
2014,2012,42380,11
2014,2012,42600,28
2014,2012,42750,9
2014,2012,43010,19
2014,2012,44040,5
2014,2012,44250,1
2014,2012,44260,1
2014,2012,44300,12
2014,2012,44450,1
2014,2012,44940,20
2014,2012,46110,7
2014,2012,49770,39
2014,2012,50020,13
2014,2012,50070,1
2014,2012,51220,73
2014,2012,51430,20
2014,2012,51520,3
2014,2012,51650,1
2014,2012,51780,2
2014,2012,52120,6
2014,2012,52240,1
2014,2012,53270,10
2014,2012,53710,2
2014,2012,54150,4
2015,2012,13210,23
2015,2012,15840,5
2015,2012,17790,2
2015,2012,21480,2
2015,2012,23760,1
2015,2012,23940,9
2015,2012,24070,7
2015,2012,24080,1
2015,2012,24740,1
2015,2012,33680,3
2015,2012,34040,1
2015,2012,35070,6
2015,2012,35490,4
2015,2012,37200,10
2015,2012,37570,8
2015,2012,37940,35
2015,2012,38440,33
2015,2012,38760,3
2015,2012,39130,50
2015,2012,39210,17
2015,2012,39330,9
2015,2012,39480,37
2015,2012,39580,3
2015,2012,39630,4
2015,2012,40130,19
2015,2012,41120,5
2015,2012,41520,13
2015,2012,41910,3
2015,2012,42380,18
2015,2012,42580,3
2015,2012,42600,43
2015,2012,42750,6
2015,2012,43010,6
2015,2012,43950,2
2015,2012,44040,2
2015,2012,44060,13
2015,2012,44300,2
2015,2012,44450,6
2015,2012,44940,31
2015,2012,46110,5
2015,2012,49770,38
2015,2012,50020,17
2015,2012,50070,3
2015,2012,51220,77
2015,2012,51400,5
2015,2012,51430,46
2015,2012,51520,20
2015,2012,51650,5
2015,2012,51780,1
2015,2012,52120,5
2015,2012,53270,4
2015,2012,54150,7
2016,2012,3490,1
2016,2012,12790,3
2016,2012,13210,23
2016,2012,15840,5
2016,2012,17790,10
2016,2012,23760,2
2016,2012,23940,8
2016,2012,24070,2
2016,2012,24080,1
2016,2012,24740,3
2016,2012,33680,10
2016,2012,34040,7
2016,2012,35070,4
2016,2012,35490,4
2016,2012,37200,24
2016,2012,37400,5
2016,2012,37570,4
2016,2012,37940,22
2016,2012,38440,59
2016,2012,38760,17
2016,2012,39210,10
2016,2012,39330,14
2016,2012,39480,15
2016,2012,40130,6
2016,2012,41120,18
2016,2012,41520,9
2016,2012,41910,9
2016,2012,42380,2
2016,2012,42600,15
2016,2012,42750,6
2016,2012,43010,9
2016,2012,43630,4
2016,2012,44040,10
2016,2012,44060,16
2016,2012,44220,1
2016,2012,44230,1
2016,2012,44260,2
2016,2012,44300,8
2016,2012,44450,6
2016,2012,44940,20
2016,2012,46110,6
2016,2012,49770,20
2016,2012,50020,15
2016,2012,51220,33
2016,2012,51400,3
2016,2012,51430,27
2016,2012,51650,2
2016,2012,52120,5
2016,2012,52240,4
2016,2012,53270,4
2016,2012,54150,5
2020,2012,3490,2
2020,2012,13210,10
2020,2012,15840,5
2020,2012,23760,1
2020,2012,23940,13
2020,2012,24070,1
2020,2012,24740,1
2020,2012,33680,1
2020,2012,33820,2
2020,2012,34040,2
2020,2012,35070,10
2020,2012,35490,8
2020,2012,37200,9
2020,2012,37570,10
2020,2012,37940,20
2020,2012,38440,10
2020,2012,38540,1
2020,2012,38760,3
2020,2012,39080,3
2020,2012,39210,17
2020,2012,39330,4
2020,2012,39480,15
2020,2012,40130,3
2020,2012,41120,3
2020,2012,41910,7
2020,2012,42580,1
2020,2012,42600,38
2020,2012,42750,1
2020,2012,43010,3
2020,2012,44040,1
2020,2012,44190,2
2020,2012,44260,1
2020,2012,44300,2
2020,2012,44450,8
2020,2012,44940,16
2020,2012,46110,4
2020,2012,49770,7
2020,2012,51220,14
2020,2012,51430,3
2020,2012,51520,2
2020,2012,51780,2
2020,2012,52120,3
2020,2012,52240,8
2021,2012,3490,3
2021,2012,13210,7
2021,2012,15840,5
2021,2012,23940,10
2021,2012,24070,2
2021,2012,24740,3
2021,2012,34040,1
2021,2012,35070,3
2021,2012,35490,1
2021,2012,37200,14
2021,2012,37400,1
2021,2012,37570,9
2021,2012,37940,15
2021,2012,38440,11
2021,2012,38540,2
2021,2012,38760,5
2021,2012,39210,7
2021,2012,39330,8
2021,2012,39480,18
2021,2012,40130,10
2021,2012,41520,4
2021,2012,41910,9
2021,2012,42580,1
2021,2012,42600,16
2021,2012,42750,2
2021,2012,43630,2
2021,2012,44040,3
2021,2012,44200,1
2021,2012,44300,4
2021,2012,44450,6
2021,2012,44940,15
2021,2012,46110,3
2021,2012,49770,10
2021,2012,51220,24
2021,2012,51400,1
2021,2012,51430,15
2021,2012,52120,3
2021,2012,52240,1
